lesson,q_type,term,line,prompt,correct,wrong1,wrong2,wrong3,option_images,tokens,audio,note,speaker,speaker_emotion
週末どこ行く？の予定バトル,mcq,WYD,WYD,「WYD」の意味は?,何してるの？,出来るだけ早く,ところで,大した事ない,,,wyd.mp3,何してるの？ / 例: Wyd in this situation? / 訳: こういう時どうする？ / 略: What (are) You Doing? の省略 / 由来: 「なにしてる？」って友達に軽く聞く時。ちょっとチャラい感じもあるので、恋人候補に送ることもあるフレーズ。,plamon,idle
週末どこ行く？の予定バトル,mcq,NBD,NBD,「NBD」の意味は?,大した事ない,出来るだけ早く,ところで,何してるの？,,,nbd.mp3,大した事ない / 例: It's nbd to walk away. / 訳: 立ち去るくらい大したことない。 / 略: No Big Deal の頭文字 / 由来: 「ぜんぜん気にしないで！」「大したことないよ」って返す時に。お礼や謝罪への軽い返しにピッタリ。,plamon,idle
爆笑チャットの秒返し,mcq,LOL,LOL,「LOL」の意味は?,(笑)／笑える,ウケる／(爆),それな／だよね,私のミス／ごめん,,,lol.mp3,(笑)／笑える / 例: That's so funny lol. / 訳: めっちゃ面白い(笑)。 / 略: Laugh Out Loud の頭文字 / 由来: 「声出して笑ってる」の意味で、日本語の「(笑)」と同じ使い方。ネットで一番よく使われる略語だよ。,wramon,idle
爆笑チャットの秒返し,mcq,LMAO,LMAO,「LMAO」の意味は?,ウケる／(爆),(笑)／笑える,それな／だよね,私のミス／ごめん,,,lmao.mp3,ウケる／(爆) / 例: We were joking LMAO. / 訳: 冗談言ってたウケる。 / 略: Laughing My Ass Off の頭文字 / 由来: 直訳は「お尻が取れるほど笑う」でLOLよりずっと強い笑い。「もう爆笑!!」ってレベル。ちょっとお下品なので、目上の人には使わないでね。,wramon,idle
爆笑チャットの秒返し,mcq,LMAO,_____ that's so funny.　(草、めっちゃ面白い。),空欄に入るのは?,LMAO,No cap,That's the tea,Glow up,,,lmao.mp3,草・大爆笑 / 例: LMAO that's so funny. / 訳: 草、めっちゃ面白い。 / 略: Laughing My Ass Off の頭文字 / 由来: 直訳は「お尻が取れるほど笑う」でLOLよりずっと強い笑い。「もう爆笑!!」ってレベル。ちょっとお下品なので、目上の人には使わないでね。,wramon,idle
爆笑チャットの秒返し,mcq_image,LMAO,LMAO,「LMAO」に合う意味は?,😂 草・大爆笑,💬 〜の一人称視点で,💬 I'm deadの強化版）,💬 こんにちは・やあ,,,lmao.mp3,草・大爆笑 / 例: LMAO that's so funny. / 訳: 草、めっちゃ面白い。 / 略: Laughing My Ass Off の頭文字 / 由来: 直訳は「お尻が取れるほど笑う」でLOLよりずっと強い笑い。「もう爆笑!!」ってレベル。ちょっとお下品なので、目上の人には使わないでね。,wramon,idle
爆笑チャットの秒返し,mcq,IKR,IKR,「IKR」の意味は?,それな／だよね,(笑)／笑える,ウケる／(爆),私のミス／ごめん,,,ikr.mp3,"それな／だよね / 例: IKR, so true! / 訳: それな、ほんとそう！ / 略: I Know, Right? の頭文字 / 由来: 「わかる〜！それな！」って強く同意する時。友達のグチや感想に「Ikr!!」って返せば「全力共感！」になるよ。",wramon,idle
爆笑チャットの秒返し,mcq,MB,MB,「MB」の意味は?,私のミス／ごめん,(笑)／笑える,ウケる／(爆),それな／だよね,,,mb.mp3,"私のミス／ごめん / 例: Oh sorry, was afk, mb. / 訳: ごめん、離席してた、私のミス。 / 略: My Bad の頭文字 / 由来: 「ごめん、私のミス!」を短くしたもの。ゲームやスポーツで軽くミスした時「MB!」ってサッと言う感じ。",wramon,idle
腹筋崩壊！笑いのリアクション,mcq,I'm dead,I'm dead,「I'm dead」の意味は?,面白すぎ／爆笑,I'm dead,ツボった／爆笑した,took me out,,,i-m-dead.mp3,面白すぎ／爆笑 / 例: I was dead! / 訳: 面白すぎた！ / 由来: 直訳は「死んでる」。でも本当の意味は「面白すぎて笑い死んだ!」。日本の「死ぬwww」と全く同じイメージだよ。,bakumon,idle
腹筋崩壊！笑いのリアクション,mcq,I'm dead,I was dead!　(面白すぎた！),空欄に入るのは?,I'm dead,no worries,I'm running behind,for now,,,i-m-dead.mp3,面白すぎた！ / 例: I was dead! / 訳: 面白すぎた！ / 由来: 直訳は「死んでる」。でも本当の意味は「面白すぎて笑い死んだ!」。日本の「死ぬwww」と全く同じイメージだよ。,bakumon,idle
腹筋崩壊！笑いのリアクション,listen,I'm dead,I'm dead,何と言っていますか?,I'm dead,I'm dad,,,,,i-m-dead.mp3,面白すぎ／爆笑 / 例: I was dead! / 訳: 面白すぎた！ / 由来: 直訳は「死んでる」。でも本当の意味は「面白すぎて笑い死んだ!」。日本の「死ぬwww」と全く同じイメージだよ。,bakumon,idle
腹筋崩壊！笑いのリアクション,mcq_image,I'm dead,I'm dead,「I'm dead」に合う意味は?,😂 面白すぎ／爆笑,🙅 確かに／絶対そう,😋 すごい！／最高！,🗣️ 噂話して／ぶっちゃけて,,,i-m-dead.mp3,面白すぎ／爆笑 / 例: I was dead! / 訳: 面白すぎた！ / 由来: 直訳は「死んでる」。でも本当の意味は「面白すぎて笑い死んだ!」。日本の「死ぬwww」と全く同じイメージだよ。,bakumon,idle
腹筋崩壊！笑いのリアクション,mcq,took me out,took me out,「took me out」の意味は?,ツボった／爆笑した,噂話して／ぶっちゃけて,ちょっとパニックになってる,イタい／見てられない,,,took-me-out.mp3,ツボった／爆笑した / 例: That video took me out! / 訳: その動画でツボった！ / 由来: 直訳「私をノックアウトした」。面白すぎて倒されちゃった=爆笑した!って意味。TikTokで面白い動画にコメントする時の定番。,bakumon,idle
腹筋崩壊！笑いのリアクション,mcq,took me out,That video ____!　(その動画でツボった！),空欄に入るのは?,took me out,exactly my thought,let's roll,tell me about it,,,took-me-out.mp3,その動画でツボった！ / 例: That video ____! / 訳: その動画でツボった！ / 由来: 直訳「私をノックアウトした」。面白すぎて倒されちゃった=爆笑した!って意味。TikTokで面白い動画にコメントする時の定番。,bakumon,idle
腹筋崩壊！笑いのリアクション,listen,took me out,took me out,何と言っていますか?,took me out,took me about,,,,,took-me-out.mp3,ツボった／爆笑した / 例: That video took me out! / 訳: その動画でツボった！ / 由来: 直訳「私をノックアウトした」。面白すぎて倒されちゃった=爆笑した!って意味。TikTokで面白い動画にコメントする時の定番。,bakumon,idle
腹筋崩壊！笑いのリアクション,mcq_image,took me out,took me out,「took me out」に合う意味は?,😂 ツボった／爆笑した,🙌 わかるよ／同感,😳 やばすぎ／常識外れ,😂 面白すぎ／爆笑,,,took-me-out.mp3,ツボった／爆笑した / 例: That video took me out! / 訳: その動画でツボった！ / 由来: 直訳「私をノックアウトした」。面白すぎて倒されちゃった=爆笑した!って意味。TikTokで面白い動画にコメントする時の定番。,bakumon,idle
腹筋崩壊！笑いのリアクション,mcq,hilarious,hilarious,「hilarious」の意味は?,ウケる・超面白い,面白すぎ／爆笑,I'm dead,ツボった／爆笑した,,,hilarious.mp3,ウケる・超面白い / 例: That's hilarious! / 訳: ウケる！ / 由来: 「腹を抱えて笑う」くらい面白いって意味。「funny(面白い)」より一段強いから、本当にツボった時に使ってね。,bakumon,idle
腹筋崩壊！笑いのリアクション,mcq,hilarious,That's _____!　(ウケる！),空欄に入るのは?,hilarious,Deceased,Screaming,Vibe,,,hilarious.mp3,ウケる・超面白い / 例: That's Hilarious! / 訳: ウケる！ / 由来: 「腹を抱えて笑う」くらい面白いって意味。「funny(面白い)」より一段強いから、本当にツボった時に使ってね。,bakumon,idle
腹筋崩壊！笑いのリアクション,listen,hilarious,hilarious,何と言っていますか?,hilarious,Hilarity,,,,,hilarious.mp3,ウケる・超面白い / 例: That's hilarious! / 訳: ウケる！ / 由来: 「腹を抱えて笑う」くらい面白いって意味。「funny(面白い)」より一段強いから、本当にツボった時に使ってね。,bakumon,idle
腹筋崩壊！笑いのリアクション,mcq_image,hilarious,hilarious,「hilarious」に合う意味は?,😂 ウケる・超面白い,💬 今から〜する,💬 異性を惹きつける力・魅力,🤝 親友・仲間,,,hilarious.mp3,ウケる・超面白い / 例: That's hilarious! / 訳: ウケる！ / 由来: 「腹を抱えて笑う」くらい面白いって意味。「funny(面白い)」より一段強いから、本当にツボった時に使ってね。,bakumon,idle
カフェで秘密の暴露タイム,mcq,spill the tea,spill the tea,「spill the tea」の意味は?,噂話して／ぶっちゃけて,ちょっとパニックになってる,ツボった／爆笑した,イタい／見てられない,,,spill-the-tea.mp3,噂話して／ぶっちゃけて / 例: Spill the tea! / 訳: ねぇ！話してよ！ / 由来: 昔からお茶を飲みながらオシャベリするから「tea(お茶)= ウワサ話」の意味に。「お茶(=秘密)をこぼす」で「ウワサ話をぶちまける」ってこと。「Spill the tea!」で「ねぇねぇ、話して話して!」の意味。,teamon,idle
カフェで秘密の暴露タイム,mcq,spill the tea,____!　(ねぇ！話してよ！),空欄に入るのは?,spill the tea,for now,I'm running late,if you say so,,,spill-the-tea.mp3,ねぇ！話してよ！ / 例: ____! / 訳: ねぇ！話してよ！ / 由来: 昔からお茶を飲みながらオシャベリするから「tea(お茶)= ウワサ話」の意味に。「お茶(=秘密)をこぼす」で「ウワサ話をぶちまける」ってこと。「Spill the tea!」で「ねぇねぇ、話して話して!」の意味。,teamon,idle
カフェで秘密の暴露タイム,listen,spill the tea,spill the tea,何と言っていますか?,spill the tea,spell the tea,,,,,spill-the-tea.mp3,噂話して／ぶっちゃけて / 例: Spill the tea! / 訳: ねぇ！話してよ！ / 由来: 昔からお茶を飲みながらオシャベリするから「tea(お茶)= ウワサ話」の意味に。「お茶(=秘密)をこぼす」で「ウワサ話をぶちまける」ってこと。「Spill the tea!」で「ねぇねぇ、話して話して!」の意味。,teamon,idle
カフェで秘密の暴露タイム,mcq_image,spill the tea,spill the tea,「spill the tea」に合う意味は?,🗣️ 噂話して／ぶっちゃけて,👋 またね／じゃあね,💬 忘れちゃった,💯 マジで！？／うそでしょ！,,,spill-the-tea.mp3,噂話して／ぶっちゃけて / 例: Spill the tea! / 訳: ねぇ！話してよ！ / 由来: 昔からお茶を飲みながらオシャベリするから「tea(お茶)= ウワサ話」の意味に。「お茶(=秘密)をこぼす」で「ウワサ話をぶちまける」ってこと。「Spill the tea!」で「ねぇねぇ、話して話して!」の意味。,teamon,idle
カフェで秘密の暴露タイム,mcq,ghost,ghost,「ghost」の意味は?,急に連絡を絶つ,噂話して／ぶっちゃけて,spill the tea,ghost,,,ghost.mp3,急に連絡を絶つ / 例: She ghosted me after our date. / 訳: デートのあと彼女が音信不通になった。 / 由来: 「幽霊(ghost)みたいにスーッと消える」からきてる言葉。デート相手が返事もしないで急に音信不通になっちゃう時に「ghosted された」って使うよ。,teamon,idle
カフェで秘密の暴露タイム,mcq,ghost,She ____ed me after our date.　(デートのあと彼女が音信不通になった。),空欄に入るのは?,ghost,whatever,cringe,fire,,,ghost.mp3,デートのあと彼女が音信不通になった。 / 例: She ____ed me after our date. / 訳: デートのあと彼女が音信不通になった。 / 由来: 「幽霊(ghost)みたいにスーッと消える」からきてる言葉。デート相手が返事もしないで急に音信不通になっちゃう時に「ghosted された」って使うよ。,teamon,idle
カフェで秘密の暴露タイム,listen,ghost,ghost,何と言っていますか?,ghost,goat,,,,,ghost.mp3,急に連絡を絶つ / 例: She ghosted me after our date. / 訳: デートのあと彼女が音信不通になった。 / 由来: 「幽霊(ghost)みたいにスーッと消える」からきてる言葉。デート相手が返事もしないで急に音信不通になっちゃう時に「ghosted された」って使うよ。,teamon,idle
カフェで秘密の暴露タイム,mcq_image,ghost,ghost,「ghost」に合う意味は?,👻 急に連絡を絶つ,👍 どうでもいいよ,😋 超イケてる／最高,😰 イライラ／焦ってる,,,ghost.mp3,急に連絡を絶つ / 例: She ghosted me after our date. / 訳: デートのあと彼女が音信不通になった。 / 由来: 「幽霊(ghost)みたいにスーッと消える」からきてる言葉。デート相手が返事もしないで急に音信不通になっちゃう時に「ghosted された」って使うよ。,teamon,idle
カフェで秘密の暴露タイム,mcq,cringe,cringe,「cringe」の意味は?,イタい／見てられない,噂話して／ぶっちゃけて,spill the tea,急に連絡を絶つ,,,cringe.mp3,イタい／見てられない / 例: That TikTok was so cringe. / 訳: あのTikTok、まじで痛かった。 / 由来: 見てるこっちが「うわ〜」って身をすくめちゃうくらい痛々しい、恥ずかしい、って意味。イタい動画やSNS投稿を見た時の反応にピッタリ。,teamon,idle
カフェで秘密の暴露タイム,mcq,cringe,That TikTok was so ____.　(あのTikTok、まじで痛かった。),空欄に入るのは?,cringe,bet,lit,salty,,,cringe.mp3,あのTikTok、まじで痛かった。 / 例: That TikTok was so ____. / 訳: あのTikTok、まじで痛かった。 / 由来: 見てるこっちが「うわ〜」って身をすくめちゃうくらい痛々しい、恥ずかしい、って意味。イタい動画やSNS投稿を見た時の反応にピッタリ。,teamon,idle
カフェで秘密の暴露タイム,listen,cringe,cringe,何と言っていますか?,cringe,crunch,,,,,cringe.mp3,イタい／見てられない / 例: That TikTok was so cringe. / 訳: あのTikTok、まじで痛かった。 / 由来: 見てるこっちが「うわ〜」って身をすくめちゃうくらい痛々しい、恥ずかしい、って意味。イタい動画やSNS投稿を見た時の反応にピッタリ。,teamon,idle
カフェで秘密の暴露タイム,mcq_image,cringe,cringe,「cringe」に合う意味は?,😬 イタい／見てられない,😰 イライラ／焦ってる,💬 うらやましい,😋 美味しそう／かっこいい,,,cringe.mp3,イタい／見てられない / 例: That TikTok was so cringe. / 訳: あのTikTok、まじで痛かった。 / 由来: 見てるこっちが「うわ〜」って身をすくめちゃうくらい痛々しい、恥ずかしい、って意味。イタい動画やSNS投稿を見た時の反応にピッタリ。,teamon,idle
カフェで秘密の暴露タイム,mcq,out of pocket,out of pocket,「out of pocket」の意味は?,やばすぎ／常識外れ,噂話して／ぶっちゃけて,spill the tea,急に連絡を絶つ,,,out-of-pocket.mp3,やばすぎ／常識外れ / 例: That's so out of pocket! / 訳: それやばすぎでしょ! / 由来: 直訳は「ポケットから外」で「常識のワクからハミ出てる」イメージ。誰かがぶっ飛んだ発言や行動をした時に「out of pocket!」って呆れ半分で使うよ。,teamon,idle
カフェで秘密の暴露タイム,mcq,out of pocket,That's so ____!　(それやばすぎでしょ!),空欄に入るのは?,out of pocket,hits different,I'm dead,if you say so,,,out-of-pocket.mp3,それやばすぎでしょ! / 例: That's so ____! / 訳: それやばすぎでしょ! / 由来: 直訳は「ポケットから外」で「常識のワクからハミ出てる」イメージ。誰かがぶっ飛んだ発言や行動をした時に「out of pocket!」って呆れ半分で使うよ。,teamon,idle
カフェで秘密の暴露タイム,listen,out of pocket,out of pocket,何と言っていますか?,out of pocket,out of packet,,,,,out-of-pocket.mp3,やばすぎ／常識外れ / 例: That's so out of pocket! / 訳: それやばすぎでしょ! / 由来: 直訳は「ポケットから外」で「常識のワクからハミ出てる」イメージ。誰かがぶっ飛んだ発言や行動をした時に「out of pocket!」って呆れ半分で使うよ。,teamon,idle
カフェで秘密の暴露タイム,mcq_image,out of pocket,out of pocket,「out of pocket」に合う意味は?,😳 やばすぎ／常識外れ,💬 ⏰ 遅れそう,🙅 確かに／絶対そう,🙌 超わかる／それな,,,out-of-pocket.mp3,やばすぎ／常識外れ / 例: That's so out of pocket! / 訳: それやばすぎでしょ! / 由来: 直訳は「ポケットから外」で「常識のワクからハミ出てる」イメージ。誰かがぶっ飛んだ発言や行動をした時に「out of pocket!」って呆れ半分で使うよ。,teamon,idle
カフェで秘密の暴露タイム,mcq,the audacity,the audacity,「the audacity」の意味は?,よくもそんなことを！,噂話して／ぶっちゃけて,spill the tea,急に連絡を絶つ,,,the-audacity.mp3,よくもそんなことを！ / 例: The audacity of him! / 訳: 彼、よくもそんなこと！ / 由来: 「よくもまあ!」って呆れたリアクション。誰かが図々しいことをした時、「The audacity!!」って叫ぶだけで「信じられない!」の気持ちが伝わるよ。,teamon,idle
カフェで秘密の暴露タイム,mcq,the audacity,_____ of him!　(彼、よくもそんなこと！),空欄に入るのは?,the audacity,My bad,Sending me,So annoying,,,the-audacity.mp3,よくもそんなことを！ / 例: The audacity of him! / 訳: 彼、よくもそんなこと！ / 由来: 「よくもまあ!」って呆れたリアクション。誰かが図々しいことをした時、「The audacity!!」って叫ぶだけで「信じられない!」の気持ちが伝わるよ。,teamon,idle
カフェで秘密の暴露タイム,listen,the audacity,the audacity,何と言っていますか?,the audacity,The odyssey,,,,,the-audacity.mp3,よくもそんなことを！ / 例: The audacity of him! / 訳: 彼、よくもそんなこと！ / 由来: 「よくもまあ!」って呆れたリアクション。誰かが図々しいことをした時、「The audacity!!」って叫ぶだけで「信じられない!」の気持ちが伝わるよ。,teamon,idle
カフェで秘密の暴露タイム,mcq_image,the audacity,the audacity,「the audacity」に合う意味は?,😤 よくもそんなことを！,😂 ツボる・大笑い,👍 OK・了解・もちろん,💯 ガチで・かなり,,,the-audacity.mp3,よくもそんなことを！ / 例: The audacity of him! / 訳: 彼、よくもそんなこと！ / 由来: 「よくもまあ!」って呆れたリアクション。誰かが図々しいことをした時、「The audacity!!」って叫ぶだけで「信じられない!」の気持ちが伝わるよ。,teamon,idle
パーティーでテンション爆上げ,mcq,fire,fire,「fire」の意味は?,超イケてる／最高,fire,最高！／盛り上がってる,lit,,,fire.mp3,超イケてる／最高 / 例: That song is fire! / 訳: あの曲マジで最高！ / 由来: 🔥「燃えてる」ってことで「めっちゃアツい!最高!」の意味。音楽・料理・ファッション、なんでも「マジで最高!」って褒めたい時に使えるよ。,firemon,idle
パーティーでテンション爆上げ,mcq,fire,That song is ____!　(あの曲マジで最高！),空欄に入るのは?,fire,jelly,snatched,kudos,,,fire.mp3,あの曲マジで最高！ / 例: That song is ____! / 訳: あの曲マジで最高！ / 由来: 🔥「燃えてる」ってことで「めっちゃアツい!最高!」の意味。音楽・料理・ファッション、なんでも「マジで最高!」って褒めたい時に使えるよ。,firemon,idle
パーティーでテンション爆上げ,listen,fire,fire,何と言っていますか?,fire,flyer,,,,,fire.mp3,超イケてる／最高 / 例: That song is fire! / 訳: あの曲マジで最高！ / 由来: 🔥「燃えてる」ってことで「めっちゃアツい!最高!」の意味。音楽・料理・ファッション、なんでも「マジで最高!」って褒めたい時に使えるよ。,firemon,idle
パーティーでテンション爆上げ,mcq_image,fire,fire,「fire」に合う意味は?,😋 超イケてる／最高,😴 くたくた／疲れきった,💬 めっちゃ驚いた／動揺した,😬 イタい／見てられない,,,fire.mp3,超イケてる／最高 / 例: That song is fire! / 訳: あの曲マジで最高！ / 由来: 🔥「燃えてる」ってことで「めっちゃアツい!最高!」の意味。音楽・料理・ファッション、なんでも「マジで最高!」って褒めたい時に使えるよ。,firemon,idle
パーティーでテンション爆上げ,mcq,lit,lit,「lit」の意味は?,最高！／盛り上がってる,超イケてる／最高,fire,lit,,,lit.mp3,最高！／盛り上がってる / 例: This party is lit! / 訳: このパーティー最高！ / 由来: 「点火された」から「盛り上がってる!」って意味に。パーティーやライブが「めっちゃ楽しい!」って時に「It's lit!!」って言うと超盛り上がる感じが伝わる。,firemon,idle
パーティーでテンション爆上げ,mcq,lit,This party is ____!　(このパーティー最高！),空欄に入るのは?,lit,ate,kudos,beat,,,lit.mp3,このパーティ最高！ / 例: This party is ____! / 訳: このパーティー最高！ / 由来: 「点火された」から「盛り上がってる!」って意味に。パーティーやライブが「めっちゃ楽しい!」って時に「It's lit!!」って言うと超盛り上がる感じが伝わる。,firemon,idle
パーティーでテンション爆上げ,listen,lit,lit,何と言っていますか?,lit,let,,,,,lit.mp3,最高！／盛り上がってる / 例: This party is lit! / 訳: このパーティー最高！ / 由来: 「点火された」から「盛り上がってる!」って意味に。パーティーやライブが「めっちゃ楽しい!」って時に「It's lit!!」って言うと超盛り上がる感じが伝わる。,firemon,idle
パーティーでテンション爆上げ,mcq_image,lit,lit,「lit」に合う意味は?,😋 最高！／盛り上がってる,😴 くたくた／疲れきった,💬 うらやましい,👻 急に連絡を絶つ,,,lit.mp3,最高！／盛り上がってる / 例: This party is lit! / 訳: このパーティー最高！ / 由来: 「点火された」から「盛り上がってる!」って意味に。パーティーやライブが「めっちゃ楽しい!」って時に「It's lit!!」って言うと超盛り上がる感じが伝わる。,firemon,idle
パーティーでテンション爆上げ,mcq,no way,no way,「no way」の意味は?,マジで！？／うそでしょ！,超イケてる／最高,fire,最高！／盛り上がってる,,,no-way.mp3,マジで！？／うそでしょ！ / 例: No way! / 訳: マジで！？うそでしょ！ / 由来: 「うそでしょ!」「マジで!?」の定番リアクション。びっくりした時、驚いた時、単純に「ありえない!」って言いたい時に。会話でよく使うよ。,firemon,idle
パーティーでテンション爆上げ,mcq,no way,____!　(マジで！？うそでしょ！),空欄に入るのは?,no way,I'm running late,I got you,it slipped my mind,,,no-way.mp3,マジで！？うそでしょ！ / 例: ____! / 訳: マジで！？うそでしょ！ / 由来: 「うそでしょ!」「マジで!?」の定番リアクション。びっくりした時、驚いた時、単純に「ありえない!」って言いたい時に。会話でよく使うよ。,firemon,idle
パーティーでテンション爆上げ,listen,no way,no way,何と言っていますか?,no way,know weigh,,,,,no-way.mp3,マジで！？／うそでしょ！ / 例: No way! / 訳: マジで！？うそでしょ！ / 由来: 「うそでしょ!」「マジで!?」の定番リアクション。びっくりした時、驚いた時、単純に「ありえない!」って言いたい時に。会話でよく使うよ。,firemon,idle
パーティーでテンション爆上げ,mcq_image,no way,no way,「no way」に合う意味は?,💯 マジで！？／うそでしょ！,💬 任せて／やるよ,💬 完璧だった／すごかった,💬 それは間違いない,,,no-way.mp3,マジで！？／うそでしょ！ / 例: No way! / 訳: マジで！？うそでしょ！ / 由来: 「うそでしょ!」「マジで!?」の定番リアクション。びっくりした時、驚いた時、単純に「ありえない!」って言いたい時に。会話でよく使うよ。,firemon,idle
パーティーでテンション爆上げ,mcq,that's sick,that's sick,「that's sick」の意味は?,すごい！／最高！,超イケてる／最高,fire,最高！／盛り上がってる,,,that-s-sick.mp3,すごい！／最高！ / 例: Check this out! That's sick! / 訳: 見て！すごい！ / 由来: 「sick=病気」なのに、逆に「めっちゃクール!」って意味。「マジで最悪」を反対に「マジで最高」って言うのは、スケボー好きな子たちが言い始めたって言われてるよ。,firemon,idle
パーティーでテンション爆上げ,mcq,that's sick,Check this out! ____!　(見て！すごい！),空欄に入るのは?,that's sick,exactly my thought,I feel you,tell me about it,,,that-s-sick.mp3,見て！すごい！ / 例: Check this out! ____! / 訳: 見て！すごい！ / 由来: 「sick=病気」なのに、逆に「めっちゃクール!」って意味。「マジで最悪」を反対に「マジで最高」って言うのは、スケボー好きな子たちが言い始めたって言われてるよ。,firemon,idle
パーティーでテンション爆上げ,listen,that's sick,that's sick,何と言っていますか?,that's sick,that's thick,,,,,that-s-sick.mp3,すごい！／最高！ / 例: Check this out! That's sick! / 訳: 見て！すごい！ / 由来: 「sick=病気」なのに、逆に「めっちゃクール!」って意味。「マジで最悪」を反対に「マジで最高」って言うのは、スケボー好きな子たちが言い始めたって言われてるよ。,firemon,idle
